name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.ivy.core.IvyPatternHelper,14,3,0,10,37,33,5,3,4,1.0188219,406,1.0,7,0.0,0.3794761,0,4,56.085336,12,0.877503,0
org.apache.ivy.plugins.lock.AbstractLockStrategy,50,1,0,5,16,20,26,1,15,0.7396012,152,1.0,0,0.9158654,0.9191402,2,2,9.020658,1,1.382054,0
org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy,3,1,0,10,148,457,58,2,3,1.9337235,26,1.0,0,0.7694413,0.6699106,0,0,56.51396,3,0.943911,0
org.apache.ivy.core.settings.IvyVariableContainer,8,1,0,9,33,22,21,1,3,0.969997,420,1.0,0,0.8809609,0.7034128,0,0,5.956551,16,1.88337,0
org.apache.ivy.plugins.resolver.util.ResourceMDParser,13,1,1,3,10,29,2,3,5,1.0694514,98,0.0,1,0.0,0.5669099,0,0,24.175444,1,0.444921,0
org.apache.ivy.core.module.id.ModuleRevisionId,9,1,0,2,46,128,1,12,11,0.1551625,85,0.0,0,0.7194845,0.5551437,0,0,10.192328,5,1.684256,0
org.apache.ivy.core.sort.CollectionOfModulesToSort,2,1,1,2,15,23,8,2,2,1.8508626,294,1.0,5,0.0,0.7314029,0,0,4.3228,1,0.773475,0
org.apache.ivy.ant.IvyBuildNumber,2,1,1,12,11,108,1,33,17,1.6178085,275,0.0,2,0.0,0.2793218,0,0,14.871818,0,1.561877,0
org.apache.ivy.util.cli.OptionBuilder,18,2,3,27,91,157,2,6,1,1.8281961,391,1.0,0,0.5992675,0.5510188,0,0,18.218044,8,0.921218,1
org.apache.ivy.plugins.parser.xml.UpdateOptions,18,2,0,23,91,43,13,13,9,1.7415045,689,1.0,4,0.0,0.3231779,0,7,58.549688,3,1.171134,1
org.apache.ivy.core.NormalRelativeUrlResolver,8,4,0,3,44,116,3,1,3,1.4178928,750,1.0,0,0.0,0.6087488,0,1,3.194309,1,0.878341,0
org.apache.ivy.plugins.matcher.MatcherHelper,32,1,0,43,60,189,8,35,3,1.7045261,458,1.0,0,0.0,0.671762,3,0,33.967042,5,2.271337,1
org.apache.ivy.ant.IvyDeliver,1,3,2,76,83,12,2,8,5,1.2071017,98,1.0,3,0.0,0.7476684,0,1,34.366447,1,2.359605,0
org.apache.ivy.util.url.AbstractURLHandler,9,1,0,4,27,77,1,9,15,0.9261955,53,0.0,0,0.0,0.3855796,0,0,13.070676,6,4.714072,0
org.apache.ivy.core.resolve.IvyNodeUsage,30,1,0,27,43,103,14,25,3,1.248643,523,1.0,1,0.0,0.6925049,0,0,42.361547,2,0.835467,1
org.apache.ivy.util.ConfigurationUtils,22,1,2,74,16,16,3,3,11,0.7357692,106,1.0,1,0.8277874,0.8631917,1,0,3.89636,1,0.999822,0
org.apache.ivy.tools.analyser.DependencyAnalyser,47,2,0,19,21,30,9,2,2,1.4947425,41,1.0,1,0.6971252,0.6560733,0,0,12.02902,4,0.367138,0
org.apache.ivy.util.MessageLoggerEngine,7,1,1,26,13,110,1,16,3,0.9200329,74,1.0,0,0.0,0.693256,0,0,2.764039,1,0.952664,0
org.apache.ivy.plugins.report.XmlReportParser,13,1,0,16,75,14,11,3,23,1.2990436,254,1.0,2,0.7442067,0.2178092,0,0,5.605381,4,0.906621,0
org.apache.ivy.plugins.resolver.util.ResolvedResource,7,2,1,2,42,59,10,3,2,1.9755703,24,1.0,0,0.0,0.2011553,0,2,4.993945,2,0.838712,0
org.apache.ivy.core.RelativeUrlResolver,4,1,0,8,84,7,1,4,32,1.7126032,118,1.0,0,0.0,0.6473404,0,0,76.108473,3,2.819406,0
org.apache.ivy.plugins.circular.WarnCircularDependencyStrategy,2,4,0,25,28,2,1,9,3,1.5755548,164,1.0,4,0.0,0.4308912,1,1,17.072116,2,0.895734,0
org.apache.ivy.core.cache.CacheDownloadOptions,22,3,2,11,59,43,0,5,30,1.9860074,319,1.0,0,0.5848222,0.644317,0,0,14.628481,2,3.398724,0
org.apache.ivy.util.FileResolver,5,1,0,5,14,12,7,5,2,1.7249673,48,1.0,2,0.8143185,0.61286,0,0,10.631205,3,3.866411,0
org.apache.ivy.core.deliver.DeliverEngineSettings,28,2,1,13,11,6,1,1,4,1.9352083,778,1.0,1,0.0,0.7850578,0,0,18.605781,11,0.337831,0
org.apache.ivy.core.cache.ArtifactOrigin,21,2,0,27,27,27,1,5,3,1.9179203,145,1.0,0,0.4670091,0.8802281,0,0,12.964038,2,0.592971,0
